Codigo del departamento,Departamento,Código del Municipio,Municipio,Grupo cultivo según especie,Subgrupo cultivo según especie,Cultivo,Año,Periodo,Area Sembrada (ha),Area Cosechada (ha),Producción (t),Rendimiento (t/ha),Ciclo del cultivo,Estado físico de la producción,Nombre científico
20,Cesar,20614,Rio de Oro,Cereales,Maíz,Maíz,2019,2019B,450,450,895,1.99,Transitorio,Grano Seco,Zea Mays
20,Cesar,20614,Rio de Oro,Cereales,Maíz,Maíz,2019,2019A,246,246,493.8,2.01,Transitorio,Grano Seco,Zea Mays
20,Cesar,20710,San Alberto,Cereales,Maíz,Maíz,2019,2019A,12,12,10.8,0.9,Transitorio,Grano Seco,Zea Mays
20,Cesar,20710,San Alberto,Cereales,Maíz,Maíz,2019,2019B,30,30,27,0.9,Transitorio,Grano Seco,Zea Mays
20,Cesar,20750,San Diego,Cereales,Maíz,Maíz,2019,2019B,572,572,572.4,1,Transitorio,Grano Seco,Zea Mays
20,Cesar,20750,San Diego,Cereales,Maíz,Maíz,2019,2019A,360,360,372,1.03,Transitorio,Grano Seco,Zea Mays
20,Cesar,20770,San Martín,Cereales,Maíz,Maíz,2019,2019B,480,480,2624,5.47,Transitorio,Grano Seco,Zea Mays
20,Cesar,20770,San Martín,Cereales,Maíz,Maíz,2019,2019A,230,230,1305,5.67,Transitorio,Grano Seco,Zea Mays
20,Cesar,20787,Tamalameque,Cereales,Maíz,Maíz,2019,2019A,280,280,980,3.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20787,Tamalameque,Cereales,Maíz,Maíz,2019,2019B,300,300,1050,3.5,Transitorio,Grano Seco,Zea Mays
20,Cesar,20001,Valledupar,Cereales,Maíz,Maíz,2019,2019A,900,800,800,1,Transitorio,Grano Seco,Zea Mays
20,Cesar,20001,Valledupar,Cereales,Maíz,Maíz,2019,2019B,1400,1200,1440,1.2,Transitorio,Grano Seco,Zea Mays
20,Cesar,20011,Aguachica,Cereales,Maíz,Maíz,2020,2020B,1950,1950,7650,3.92,Transitorio,Grano Seco,Zea Mays
20,Cesar,20011,Aguachica,Cereales,Maíz,Maíz,2020,2020A,350,350,1275,3.64,Transitorio,Grano Seco,Zea Mays
20,Cesar,20013,Agustín Codazzi,Cereales,Maíz,Maíz,2020,2020A,755,305,470,1.54,Transitorio,Grano Seco,Zea Mays
20,Cesar,20013,Agustín Codazzi,Cereales,Maíz,Maíz,2020,2020B,680,500,750,1.5,Transitorio,Grano Seco,Zea Mays
